#|SEDE_ATENCION|TIPO_SOLICITUD|SEXO_BENEFICIARIO|EDAD_BENEFICIARIO|DISTRITO_BENEFICIARIO|DEPARTAMENTO_BENEFICIARIO|NACIONALIDAD_BENEFICIARIO|ANO_TRA|MES_TRA|TOTAL_MOV_MIGRA|ESTADO_TRAMITE|NACIONALIDAD_SOLICITANTE|FECHA_DE_CORTE
93|SERVICIOS WEB|PROPIETARIO|M|36|CALLAO|CALLAO|VENEZOLANA|2023|OCTUBRE|5|E|VENEZOLANA|2023-10-04
94|SERVICIOS WEB|PROPIETARIO|M|81|SAN ISIDRO|LIMA|BRASILERA|2023|OCTUBRE|0|E|BRASILERA|2023-10-04
95|SERVICIOS WEB|PROPIETARIO|F|46|SAN MARTIN DE PORRES|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-04
96|SERVICIOS WEB|PROPIETARIO|M|59|SANTIAGO DE SURCO|LIMA|INDIA|2023|OCTUBRE|0|E|INDIA|2023-10-04
97|SERVICIOS WEB|PROPIETARIO|M|22|CIENEGUILLA|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-04
98|SERVICIOS WEB|PROPIETARIO|F|39|SAN MIGUEL|LIMA|VENEZOLANA|2023|OCTUBRE|4|E|VENEZOLANA|2023-10-04
99|SERVICIOS WEB|PROPIETARIO|M|50|TRUJILLO|LA LIBERTAD|CHINA|2023|OCTUBRE|0|E|CHINA|2023-10-04
100|SERVICIOS WEB|PROPIETARIO|M|24|ATE|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-04
101|SERVICIOS WEB|PROPIETARIO|M|21|LINCE|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-04
102|SERVICIOS WEB|PROPIETARIO|F|43|TACNA|TACNA|ARGENTINA|2023|OCTUBRE|73|E|ARGENTINA|2023-10-04
103|LIMA|PROPIETARIO|M|13|BARRANCO|LIMA|VENEZOLANA|2023|OCTUBRE|13|E|VENEZOLANA|2023-10-04
104|SERVICIOS WEB|PROPIETARIO|M|43|LINCE|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-04
105|SERVICIOS WEB|PROPIETARIO|M|70|SAN ISIDRO|LIMA|ESTADOUNIDENSE|2023|OCTUBRE|62|E|ESTADOUNIDENSE|2023-10-04
106|LIMA|PROPIETARIO|F|8|LOS OLIVOS|LIMA|VENEZOLANA|2023|OCTUBRE|1|E|VENEZOLANA|2023-10-04
107|SERVICIOS WEB|PROPIETARIO|M|27|CUSCO|CUSCO|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-04
108|SERVICIOS WEB|PROPIETARIO|F|31|ATE|LIMA|VENEZOLANA|2023|OCTUBRE|5|E|VENEZOLANA|2023-10-04
109|SERVICIOS WEB|PROPIETARIO|M|22|SAN MARTIN DE PORRES|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-04
110|SERVICIOS WEB|PROPIETARIO|M|28|LOS OLIVOS|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-04
111|SERVICIOS WEB|PROPIETARIO|M|39|LIMA|LIMA|ECUATORIANA|2023|OCTUBRE|23|E|ECUATORIANA|2023-10-04
112|SERVICIOS WEB|PROPIETARIO|F|28|LIMA|LIMA|ECUATORIANA|2023|OCTUBRE|11|E|ECUATORIANA|2023-10-04
113|SERVICIOS WEB|PROPIETARIO|M|30|CALLERIA|UCAYALI|ESTADOUNIDENSE|2023|OCTUBRE|17|E|ESTADOUNIDENSE|2023-10-04
114|SERVICIOS WEB|PROPIETARIO|M|24|LINCE|LIMA|ESPAÑOLA|2023|OCTUBRE|0|E|ESPAÑOLA|2023-10-04
115|SERVICIOS WEB|PROPIETARIO|F|31|BELLAVISTA|CALLAO|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-04
116|SERVICIOS WEB|PROPIETARIO|M|36|MAGDALENA DEL MAR|LIMA|ESTADOUNIDENSE|2023|OCTUBRE|0|E|ESTADOUNIDENSE|2023-10-04
117|SERVICIOS WEB|PROPIETARIO|M|56|LINCE|LIMA|COLOMBIANA|2023|OCTUBRE|4|E|COLOMBIANA|2023-10-04
118|SERVICIOS WEB|PROPIETARIO|F|45|SAN LUIS|LIMA|DOMINICANA|2023|OCTUBRE|0|E|DOMINICANA|2023-10-04
119|SERVICIOS WEB|PROPIETARIO|F|37|SAN JUAN DE MIRAFLORES|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
120|IQUITOS|PROPIETARIO|M|50|<NO DEFINIDO>|<NO DEFINIDO>|BRASILERA|2023|OCTUBRE|14|N|BRASILERA|2023-10-05
121|SERVICIOS WEB|PROPIETARIO|M|33|SAN JUAN DE LURIGANCHO|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
122|SERVICIOS WEB|PROPIETARIO|F|34|PUNTA HERMOSA|LIMA|VENEZOLANA|2023|OCTUBRE|9|E|VENEZOLANA|2023-10-05
123|SERVICIOS WEB|PROPIETARIO|F|30|SAN JUAN DE MIRAFLORES|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
124|SERVICIOS WEB|PROPIETARIO|F|52|SAN BORJA|LIMA|ECUATORIANA|2023|OCTUBRE|67|E|ECUATORIANA|2023-10-05
125|SERVICIOS WEB|PROPIETARIO|F|32|SAN MARTIN DE PORRES|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
126|SERVICIOS WEB|PROPIETARIO|F|39|LIMA|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
127|SERVICIOS WEB|PROPIETARIO|F|51|SANTA ANITA|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
128|SERVICIOS WEB|PROPIETARIO|M|40|ATE|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
129|SERVICIOS WEB|PROPIETARIO|M|44|SANTIAGO DE SURCO|LIMA|BRASILERA|2023|OCTUBRE|0|E|BRASILERA|2023-10-05
130|SERVICIOS WEB|PROPIETARIO|M|38|TUMBES|TUMBES|DOMINICANA|2023|OCTUBRE|7|E|DOMINICANA|2023-10-05
131|SERVICIOS WEB|PROPIETARIO|F|29|MIRAFLORES|LIMA|MEXICANA|2023|OCTUBRE|0|E|MEXICANA|2023-10-05
132|SERVICIOS WEB|PROPIETARIO|M|44|SANTIAGO DE SURCO|LIMA|BRASILERA|2023|OCTUBRE|21|E|BRASILERA|2023-10-05
133|SERVICIOS WEB|PROPIETARIO|F|32|SANTIAGO DE SURCO|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
