#|SEDE_ATENCION|TIPO_SOLICITUD|SEXO_BENEFICIARIO|EDAD_BENEFICIARIO|DISTRITO_BENEFICIARIO|DEPARTAMENTO_BENEFICIARIO|NACIONALIDAD_BENEFICIARIO|ANO_TRA|MES_TRA|TOTAL_MOV_MIGRA|ESTADO_TRAMITE|NACIONALIDAD_SOLICITANTE|FECHA_DE_CORTE
541|SERVICIOS WEB|PROPIETARIO|M|33|COMAS|LIMA|VENEZOLANA|2023|SEPTIEMBRE|1|E|VENEZOLANA|2023-09-27
542|SERVICIOS WEB|PROPIETARIO|F|34|PUENTE PIEDRA|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-27
543|SERVICIOS WEB|PROPIETARIO|M|37|EL AGUSTINO|LIMA|MEXICANA|2023|SEPTIEMBRE|3|E|MEXICANA|2023-09-27
544|SERVICIOS WEB|PROPIETARIO|M|71|SAN ISIDRO|LIMA|AUSTRALIANA|2023|SEPTIEMBRE|16|E|AUSTRALIANA|2023-09-27
545|SERVICIOS WEB|PROPIETARIO|M|42|SAN ISIDRO|LIMA|COLOMBIANA|2023|SEPTIEMBRE|0|E|COLOMBIANA|2023-09-27
546|SERVICIOS WEB|PROPIETARIO|F|32|LIMA|LIMA|CHINA|2023|SEPTIEMBRE|0|E|CHINA|2023-09-27
547|SERVICIOS WEB|PROPIETARIO|M|47|BARRANCO|LIMA|ITALIANA|2023|SEPTIEMBRE|113|E|ITALIANA|2023-09-27
548|SERVICIOS WEB|PROPIETARIO|F|37|LURIN|LIMA|COLOMBIANA|2023|SEPTIEMBRE|0|E|COLOMBIANA|2023-09-27
549|SERVICIOS WEB|PROPIETARIO|M|52|LA MOLINA|LIMA|AUSTRALIANA|2023|SEPTIEMBRE|60|E|AUSTRALIANA|2023-09-27
550|SERVICIOS WEB|PROPIETARIO|F|47|SAN BORJA|LIMA|ARGENTINA|2023|SEPTIEMBRE|55|E|ARGENTINA|2023-09-27
551|SERVICIOS WEB|PROPIETARIO|M|43|SANTA ANITA|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-27
552|SERVICIOS WEB|PROPIETARIO|M|43|VENTANILLA|CALLAO|CHINA|2023|SEPTIEMBRE|4|E|CHINA|2023-09-27
553|SERVICIOS WEB|PROPIETARIO|F|26|LURIGANCHO|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-27
554|SERVICIOS WEB|PROPIETARIO|M|48|MIRAFLORES|LIMA|EMIRATOS ARABES UNID|2023|SEPTIEMBRE|1|E|EMIRATOS ARABES UNID|2023-09-27
555|SERVICIOS WEB|PROPIETARIO|F|43|LIMA|LIMA|CUBANA|2023|SEPTIEMBRE|6|E|CUBANA|2023-09-26
556|SERVICIOS WEB|PROPIETARIO|F|30|ATE|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-26
557|SERVICIOS WEB|PROPIETARIO|M|41|SANTIAGO DE SURCO|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-26
